Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GradeClass
0.6666666666666666,1.0,0.0,0.5,0.9927731524950372,0.2413793103448276,1.0,0.5,0.0,0.0,1.0,0.0,two
1.0,0.0,0.0,0.25,0.7712704842064417,0.0,0.0,0.25,0.0,0.0,0.0,0.0,one
0.0,0.0,0.6666666666666666,0.75,0.210717585395672,0.896551724137931,0.0,0.5,0.0,0.0,0.0,0.0,four
0.6666666666666666,1.0,0.0,0.75,0.5019649310355685,0.4827586206896552,0.0,0.75,1.0,0.0,0.0,0.0,three
0.6666666666666666,1.0,0.0,0.5,0.23384038383670208,0.5862068965517241,1.0,0.75,0.0,0.0,0.0,0.0,four
1.0,0.0,0.0,0.25,0.4099788171789441,0.0,0.0,0.25,1.0,0.0,0.0,0.0,one
0.0,0.0,0.3333333333333333,0.25,0.7809277722216764,0.3448275862068966,0.0,0.75,0.0,1.0,0.0,0.0,two
0.0,1.0,0.3333333333333333,1.0,0.7720583888391457,0.7586206896551724,1.0,0.25,1.0,0.0,0.0,0.0,four
0.6666666666666666,0.0,0.0,0.0,0.22830968376341293,0.034482758620689655,0.0,0.5,0.0,1.0,0.0,1.0,two
0.3333333333333333,1.0,0.0,0.25,0.9232304570492611,0.0,0.0,0.75,1.0,0.0,0.0,0.0,zero
0.6666666666666666,0.0,0.0,0.25,0.5931964284793586,0.3793103448275862,0.0,0.25,0.0,0.0,0.0,0.0,three
0.6666666666666666,0.0,0.0,0.25,0.3803081007458714,0.5172413793103449,0.0,0.5,0.0,0.0,0.0,1.0,four
0.6666666666666666,0.0,0.3333333333333333,0.25,0.5024596490460523,0.7241379310344828,0.0,0.75,1.0,0.0,0.0,0.0,four
0.6666666666666666,0.0,0.3333333333333333,0.5,0.6057138503572879,0.7241379310344828,0.0,1.0,0.0,1.0,0.0,0.0,four
1.0,1.0,0.0,0.25,0.5604812165087345,0.3103448275862069,1.0,0.5,0.0,0.0,0.0,0.0,three
